2026-09-11 20:53:41 | aira.rei.provider_client | call_openai_compatible gagal: 429 Client Error: Too Many Requests for url: https://openrouter.ai/api/v1/chat/completions | body: {"error":{"message":"Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day","code":429,"metadata":{"headers":{"X-RateLimit-Limit":"50","X-RateLimit-Remaining":"0","X-RateLimit-Reset":"1789171200000"},"limit_source":"openrouter_free_tier_daily","remedy_hint":"Wait for the daily reset (see X-RateLimit-Reset), or purchase credits to raise your free-model daily limit.","provider_name":null}},"user_id":"user_3IwYq6vPOiy2TVpZ0kvnVdxP2Qg"}
2026-09-11 20:54:21 | aira.rei.provider_client | call_openai_compatible gagal: 429 Client Error: Too Many Requests for url: https://openrouter.ai/api/v1/chat/completions | body: {"error":{"message":"Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day","code":429,"metadata":{"headers":{"X-RateLimit-Limit":"50","X-RateLimit-Remaining":"0","X-RateLimit-Reset":"1789171200000"},"limit_source":"openrouter_free_tier_daily","remedy_hint":"Wait for the daily reset (see X-RateLimit-Reset), or purchase credits to raise your free-model daily limit.","provider_name":null}},"user_id":"user_3IwYq6vPOiy2TVpZ0kvnVdxP2Qg"}
2026-09-12 10:57:20 | ERROR    | aira.rei.provider_client | provider_client.py:241 (_call_openai_compatible) | call_openai_compatible gagal: 429 Client Error: Too Many Requests for url: https://openrouter.ai/api/v1/chat/completions | body: {"error":{"message":"Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day","code":429,"metadata":{"headers":{"X-RateLimit-Limit":"50","X-RateLimit-Remaining":"0","X-RateLimit-Reset":"1789257600000"},"limit_source":"openrouter_free_tier_daily","remedy_hint":"Wait for the daily reset (see X-RateLimit-Reset), or purchase credits to raise your free-model daily limit.","provider_name":null}},"user_id":"user_3IwYq6vPOiy2TVpZ0kvnVdxP2Qg"}
2026-09-12 10:57:35 | ERROR    | aira.rei.provider_client | provider_client.py:241 (_call_openai_compatible) | call_openai_compatible gagal: 429 Client Error: Too Many Requests for url: https://openrouter.ai/api/v1/chat/completions | body: {"error":{"message":"Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day","code":429,"metadata":{"headers":{"X-RateLimit-Limit":"50","X-RateLimit-Remaining":"0","X-RateLimit-Reset":"1789257600000"},"limit_source":"openrouter_free_tier_daily","remedy_hint":"Wait for the daily reset (see X-RateLimit-Reset), or purchase credits to raise your free-model daily limit.","provider_name":null}},"user_id":"user_3IwYq6vPOiy2TVpZ0kvnVdxP2Qg"}
2026-09-12 14:32:12 | ERROR    | aira.rei.provider_client | provider_client.py:241 (_call_openai_compatible) | call_openai_compatible gagal: 429 Client Error: Too Many Requests for url: https://openrouter.ai/api/v1/chat/completions | body: {"error":{"message":"Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day","code":429,"metadata":{"headers":{"X-RateLimit-Limit":"50","X-RateLimit-Remaining":"0","X-RateLimit-Reset":"1789257600000"},"limit_source":"openrouter_free_tier_daily","remedy_hint":"Wait for the daily reset (see X-RateLimit-Reset), or purchase credits to raise your free-model daily limit.","provider_name":null}},"user_id":"user_3IwYq6vPOiy2TVpZ0kvnVdxP2Qg"}
2026-09-13 16:12:00 | ERROR    | aira.rei.provider_client | provider_client.py:274 (_call_openai_compatible) | call_openrouter gagal (rate_limit): 429 Client Error: Too Many Requests for url: https://openrouter.ai/api/v1/chat/completions | body: {"error":{"message":"Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day","code":429,"metadata":{"headers":{"X-RateLimit-Limit":"50","X-RateLimit-Remaining":"0","X-RateLimit-Reset":"1789344000000"},"limit_source":"openrouter_free_tier_daily","remedy_hint":"Wait for the daily reset (see X-RateLimit-Reset), or purchase credits to raise your free-model daily limit.","provider_name":null}},"user_id":"user_3IwYq6vPOiy2TVpZ0kvnVdxP2Qg"}
2026-09-13 16:12:00 | WARNING  | aira.rei.provider_client | provider_client.py:457 (call_model) | Model default 'Nemotron 3 Super' gagal (rate_limit): Tidak bisa menghubungi https://openrouter.ai/api/v1: 429 Client Error: Too Many Requests for url: https://openrouter.ai/api/v1/chat/completions | body: {"error":{"message":"Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day","code":429,"metadata":{"headers":{"X-RateLimit-Limit":"50","X-RateLimit-Remaining":"0","X-RateLimit-Reset":"1789344000000"},"limit_source":"openrouter_free_tier_daily","remedy_hint":"Wait for the daily reset (see X-RateLimit-Reset), or purchase credits to raise your free-model daily limit.","provider_name":null}},"user_id":"user_3IwYq6vPOiy2TVpZ0kvnVdxP2Qg"}
2026-09-13 16:12:00 | INFO     | aira.rei.provider_client | provider_client.py:470 (call_model) | AUTO FAILOVER | Nemotron 3 Super -> Nemotron 3.5 Lightning (alasan: rate_limit)
2026-09-13 16:12:01 | ERROR    | aira.rei.provider_client | provider_client.py:274 (_call_openai_compatible) | call_openrouter gagal (rate_limit): 429 Client Error: Too Many Requests for url: https://openrouter.ai/api/v1/chat/completions | body: {"error":{"message":"Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day","code":429,"metadata":{"headers":{"X-RateLimit-Limit":"50","X-RateLimit-Remaining":"0","X-RateLimit-Reset":"1789344000000"},"limit_source":"openrouter_free_tier_daily","remedy_hint":"Wait for the daily reset (see X-RateLimit-Reset), or purchase credits to raise your free-model daily limit.","provider_name":null}},"user_id":"user_3IwYq6vPOiy2TVpZ0kvnVdxP2Qg"}
2026-09-13 16:12:01 | ERROR    | aira.rei.provider_client | provider_client.py:478 (call_model) | AUTO FAILOVER GAGAL | fallback 'Nemotron 3.5 Lightning' juga gagal: Tidak bisa menghubungi https://openrouter.ai/api/v1: 429 Client Error: Too Many Requests for url: https://openrouter.ai/api/v1/chat/completions | body: {"error":{"message":"Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day","code":429,"metadata":{"headers":{"X-RateLimit-Limit":"50","X-RateLimit-Remaining":"0","X-RateLimit-Reset":"1789344000000"},"limit_source":"openrouter_free_tier_daily","remedy_hint":"Wait for the daily reset (see X-RateLimit-Reset), or purchase credits to raise your free-model daily limit.","provider_name":null}},"user_id":"user_3IwYq6vPOiy2TVpZ0kvnVdxP2Qg"}
2026-09-13 16:12:07 | ERROR    | aira.rei.provider_client | provider_client.py:274 (_call_openai_compatible) | call_openrouter gagal (rate_limit): 429 Client Error: Too Many Requests for url: https://openrouter.ai/api/v1/chat/completions | body: {"error":{"message":"Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day","code":429,"metadata":{"headers":{"X-RateLimit-Limit":"50","X-RateLimit-Remaining":"0","X-RateLimit-Reset":"1789344000000"},"limit_source":"openrouter_free_tier_daily","remedy_hint":"Wait for the daily reset (see X-RateLimit-Reset), or purchase credits to raise your free-model daily limit.","provider_name":null}},"user_id":"user_3IwYq6vPOiy2TVpZ0kvnVdxP2Qg"}
2026-09-13 16:12:07 | WARNING  | aira.rei.provider_client | provider_client.py:457 (call_model) | Model default 'Nemotron 3 Super' gagal (rate_limit): Tidak bisa menghubungi https://openrouter.ai/api/v1: 429 Client Error: Too Many Requests for url: https://openrouter.ai/api/v1/chat/completions | body: {"error":{"message":"Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day","code":429,"metadata":{"headers":{"X-RateLimit-Limit":"50","X-RateLimit-Remaining":"0","X-RateLimit-Reset":"1789344000000"},"limit_source":"openrouter_free_tier_daily","remedy_hint":"Wait for the daily reset (see X-RateLimit-Reset), or purchase credits to raise your free-model daily limit.","provider_name":null}},"user_id":"user_3IwYq6vPOiy2TVpZ0kvnVdxP2Qg"}
2026-09-13 16:12:07 | INFO     | aira.rei.provider_client | provider_client.py:470 (call_model) | AUTO FAILOVER | Nemotron 3 Super -> Nemotron 3.5 Lightning (alasan: rate_limit)
